 NumElements:            1
 Element:            1
 FFD Points          240
   1.0109735727310181          6.8712286651134491E-002     1.0840978622436523     
           2             0             3
   1.3981566429138184         0.21498432755470276          1.6261538267135620     
           2             0             4
   1.7955523729324341         0.36787831783294678          2.1682095527648926     
           2             0             5
   2.1464455127716064         0.52540999650955200          2.7102653980255127     
           2             0             6
   2.5208575725555420         0.70263391733169556          3.2523214817047119     
           2             0             7
   2.8725295066833496         0.88681828975677490          3.7943773269653320     
           2             1             0
  0.36927780508995056         -7.0312604308128357E-002    -1.4001223462400958E-005
           2             1             1
  0.67216813564300537          1.2444265186786652E-002    0.54204189777374268     
           2             1             2
   1.0109735727310181         0.14366832375526428          1.0840978622436523     
           2             1             3
   1.3981566429138184         0.27989584207534790          1.6261538267135620     
           2             1             4
   1.7955523729324341         0.42611375451087952          2.1682095527648926     
           2             1             5
   2.1464455127716064         0.57766640186309814          2.7102653980255127     
           2             1             6
   2.5208575725555420         0.75145393610000610          3.2523214817047119     
           2             1             7
   2.8725295066833496         0.92883044481277466          3.7943773269653320     
           2             2             0
  0.36927780508995056          8.7216481566429138E-002    -1.4001223462400958E-005
           2             2             1
  0.67216813564300537         0.11549434065818787         0.54204189777374268     
           2             2             2
   1.0109735727310181         0.21862435340881348          1.0840978622436523     
           2             2             3
   1.3981566429138184         0.34480735659599304          1.6261538267135620     
           2             2             4
   1.7955523729324341         0.48434922099113464          2.1682095527648926     
           2             2             5
   2.1464455127716064         0.62992292642593384          2.7102653980255127     
           2             2             6
   2.5208575725555420         0.80027401447296143          3.2523214817047119     
           2             2             7
   2.8725295066833496         0.97084259986877441          3.7943773269653320     
           3             0             0
  0.56638133525848389        -0.22784169018268585         -1.4001223462400958E-005
           3             0             1
  0.83702027797698975         -9.0605802834033966E-002    0.54204189777374268     
           3             0             2
   1.1418957710266113          6.8712286651134491E-002     1.0840978622436523     
           3             0             3
   1.5120030641555786         0.21498432755470276          1.6261538267135620     
           3             0             4
   1.8941245079040527         0.36787831783294678          2.1682095527648926     
           3             0             5
   2.2306058406829834         0.52540999650955200          2.7102653980255127     
           3             0             6
   2.5919108390808105         0.70263391733169556          3.2523214817047119     
           3             0             7
   2.9300730228424072         0.88681828975677490          3.7943773269653320     
           3             1             0
  0.56638133525848389         -7.0312604308128357E-002    -1.4001223462400958E-005
           3             1             1
  0.83702027797698975          1.2444265186786652E-002    0.54204189777374268     
           3             1             2
   1.1418957710266113         0.14366832375526428          1.0840978622436523     
           3             1             3
   1.5120030641555786         0.27989584207534790          1.6261538267135620     
           3             1             4
   1.8941245079040527         0.42611375451087952          2.1682095527648926     
           3             1             5
   2.2306058406829834         0.57766640186309814          2.7102653980255127     
           3             1             6
   2.5919108390808105         0.75145393610000610          3.2523214817047119     
           3             1             7
   2.9300730228424072         0.92883044481277466          3.7943773269653320     
           3             2             0
  0.56638133525848389          8.7216481566429138E-002    -1.4001223462400958E-005
           3             2             1
  0.83702027797698975         0.11549434065818787         0.54204189777374268     
           3             2             2
   1.1418957710266113         0.21862435340881348          1.0840978622436523     
           3             2             3
   1.5120030641555786         0.34480735659599304          1.6261538267135620     
           3             2             4
   1.8941245079040527         0.48434922099113464          2.1682095527648926     
           3             2             5
   2.2306058406829834         0.62992292642593384          2.7102653980255127     
           3             2             6
   2.5919108390808105         0.80027401447296143          3.2523214817047119     
           3             2             7
   2.9300730228424072         0.97084259986877441          3.7943773269653320     
           4             0             0
  0.76348483562469482        -0.22784169018268585         -1.4001223462400958E-005
           4             0             1
   1.0018724203109741         -9.0605802834033966E-002    0.54204189777374268     
           4             0             2
   1.2728179693222046          6.8712286651134491E-002     1.0840978622436523     
           4             0             3
   1.6258494853973389         0.21498432755470276          1.6261538267135620     
           4             0             4
   1.9926966428756714         0.36787831783294678          2.1682095527648926     
           4             0             5
   2.3147661685943604         0.52540999650955200          2.7102653980255127     
           4             0             6
   2.6629643440246582         0.70263391733169556          3.2523214817047119     
           4             0             7
   2.9876165390014648         0.88681828975677490          3.7943773269653320     
           4             1             0
  0.76348483562469482         -7.0312604308128357E-002    -1.4001223462400958E-005
           4             1             1
   1.0018724203109741          1.2444265186786652E-002    0.54204189777374268     
           4             1             2
   1.2728179693222046         0.14366832375526428          1.0840978622436523     
           4             1             3
   1.6258494853973389         0.27989584207534790          1.6261538267135620     
           4             1             4
   1.9926966428756714         0.42611375451087952          2.1682095527648926     
           4             1             5
   2.3147661685943604         0.57766640186309814          2.7102653980255127     
           4             1             6
   2.6629643440246582         0.75145393610000610          3.2523214817047119     
           4             1             7
   2.9876165390014648         0.92883044481277466          3.7943773269653320     
           4             2             0
  0.76348483562469482          8.7216481566429138E-002    -1.4001223462400958E-005
           4             2             1
   1.0018724203109741         0.11549434065818787         0.54204189777374268     
           4             2             2
   1.2728179693222046         0.21862435340881348          1.0840978622436523     
           4             2             3
   1.6258494853973389         0.34480735659599304          1.6261538267135620     
           4             2             4
   1.9926966428756714         0.48434922099113464          2.1682095527648926     
           4             2             5
   2.3147661685943604         0.62992292642593384          2.7102653980255127     
           4             2             6
   2.6629643440246582         0.80027401447296143          3.2523214817047119     
           4             2             7
   2.9876165390014648         0.97084259986877441          3.7943773269653320     
           5             0             0
  0.96058833599090576        -0.22784169018268585         -1.4001223462400958E-005
           5             0             1
   1.1667245626449585         -9.0605802834033966E-002    0.54204189777374268     
           5             0             2
   1.4037401676177979          6.8712286651134491E-002     1.0840978622436523     
           5             0             3
   1.7396959066390991         0.21498432755470276          1.6261538267135620     
           5             0             4
   2.0912687778472900         0.36787831783294678          2.1682095527648926     
           5             0             5
   2.3989264965057373         0.52540999650955200          2.7102653980255127     
           5             0             6
   2.7340176105499268         0.70263391733169556          3.2523214817047119     
           5             0             7
   3.0451598167419434         0.88681828975677490          3.7943773269653320     
           5             1             0
  0.96058833599090576         -7.0312604308128357E-002    -1.4001223462400958E-005
           5             1             1
   1.1667245626449585          1.2444265186786652E-002    0.54204189777374268     
           5             1             2
   1.4037401676177979         0.14366832375526428          1.0840978622436523     
           5             1             3
   1.7396959066390991         0.27989584207534790          1.6261538267135620     
           5             1             4
   2.0912687778472900         0.42611375451087952          2.1682095527648926     
           5             1             5
   2.3989264965057373         0.57766640186309814          2.7102653980255127     
           5             1             6
   2.7340176105499268         0.75145393610000610          3.2523214817047119     
           5             1             7
   3.0451598167419434         0.92883044481277466          3.7943773269653320     
           5             2             0
  0.96058833599090576          8.7216481566429138E-002    -1.4001223462400958E-005
           5             2             1
   1.1667245626449585         0.11549434065818787         0.54204189777374268     
           5             2             2
   1.4037401676177979         0.21862435340881348          1.0840978622436523     
           5             2             3
   1.7396959066390991         0.34480735659599304          1.6261538267135620     
           5             2             4
   2.0912687778472900         0.48434922099113464          2.1682095527648926     
           5             2             5
   2.3989264965057373         0.62992292642593384          2.7102653980255127     
           5             2             6
   2.7340176105499268         0.80027401447296143          3.2523214817047119     
           5             2             7
   3.0451598167419434         0.97084259986877441          3.7943773269653320     
           6             0             0
   1.1576919555664062        -0.22784169018268585         -1.4001223462400958E-005
           6             0             1
   1.3315768241882324         -9.0605802834033966E-002    0.54204189777374268     
           6             0             2
   1.5346624851226807          6.8712286651134491E-002     1.0840978622436523     
           6             0             3
   1.8535423278808594         0.21498432755470276          1.6261538267135620     
           6             0             4
   2.1898410320281982         0.36787831783294678          2.1682095527648926     
           6             0             5
   2.4830868244171143         0.52540999650955200          2.7102653980255127     
           6             0             6
   2.8050711154937744         0.70263391733169556          3.2523214817047119     
           6             0             7
   3.1027033329010010         0.88681828975677490          3.7943773269653320     
           6             1             0
   1.1576919555664062         -7.0312604308128357E-002    -1.4001223462400958E-005
           6             1             1
   1.3315768241882324          1.2444265186786652E-002    0.54204189777374268     
           6             1             2
   1.5346624851226807         0.14366832375526428          1.0840978622436523     
           6             1             3
   1.8535423278808594         0.27989584207534790          1.6261538267135620     
           6             1             4
   2.1898410320281982         0.42611375451087952          2.1682095527648926     
           6             1             5
   2.4830868244171143         0.57766640186309814          2.7102653980255127     
           6             1             6
   2.8050711154937744         0.75145393610000610          3.2523214817047119     
           6             1             7
   3.1027033329010010         0.92883044481277466          3.7943773269653320     
           6             2             0
   1.1576919555664062          8.7216481566429138E-002    -1.4001223462400958E-005
           6             2             1
   1.3315768241882324         0.11549434065818787         0.54204189777374268     
           6             2             2
   1.5346624851226807         0.21862435340881348          1.0840978622436523     
           6             2             3
   1.8535423278808594         0.34480735659599304          1.6261538267135620     
           6             2             4
   2.1898410320281982         0.48434922099113464          2.1682095527648926     
           6             2             5
   2.4830868244171143         0.62992292642593384          2.7102653980255127     
           6             2             6
   2.8050711154937744         0.80027401447296143          3.2523214817047119     
           6             2             7
   3.1027033329010010         0.97084259986877441          3.7943773269653320     
           7             0             0
   1.3547954559326172        -0.22784169018268585         -1.4001223462400958E-005
           7             0             1
   1.4964289665222168         -9.0605802834033966E-002    0.54204189777374268     
           7             0             2
   1.6655845642089844          6.8712286651134491E-002     1.0840978622436523     
           7             0             3
   1.9673888683319092         0.21498432755470276          1.6261538267135620     
           7             0             4
   2.2884130477905273         0.36787831783294678          2.1682095527648926     
           7             0             5
   2.5672471523284912         0.52540999650955200          2.7102653980255127     
           7             0             6
   2.8761243820190430         0.70263391733169556          3.2523214817047119     
           7             0             7
   3.1602468490600586         0.88681828975677490          3.7943773269653320     
           7             1             0
   1.3547954559326172         -7.0312604308128357E-002    -1.4001223462400958E-005
           7             1             1
   1.4964289665222168          1.2444265186786652E-002    0.54204189777374268     
           7             1             2
   1.6655845642089844         0.14366832375526428          1.0840978622436523     
           7             1             3
   1.9673888683319092         0.27989584207534790          1.6261538267135620     
           7             1             4
   2.2884130477905273         0.42611375451087952          2.1682095527648926     
           7             1             5
   2.5672471523284912         0.57766640186309814          2.7102653980255127     
           7             1             6
   2.8761243820190430         0.75145393610000610          3.2523214817047119     
           7             1             7
   3.1602468490600586         0.92883044481277466          3.7943773269653320     
           7             2             0
   1.3547954559326172          8.7216481566429138E-002    -1.4001223462400958E-005
           7             2             1
   1.4964289665222168         0.11549434065818787         0.54204189777374268     
           7             2             2
   1.6655845642089844         0.21862435340881348          1.0840978622436523     
           7             2             3
   1.9673888683319092         0.34480735659599304          1.6261538267135620     
           7             2             4
   2.2884130477905273         0.48434922099113464          2.1682095527648926     
           7             2             5
   2.5672471523284912         0.62992292642593384          2.7102653980255127     
           7             2             6
   2.8761243820190430         0.80027401447296143          3.2523214817047119     
           7             2             7
   3.1602468490600586         0.97084259986877441          3.7943773269653320     
           8             0             0
   1.5518989562988281        -0.22784169018268585         -1.4001223462400958E-005
           8             0             1
   1.6612811088562012         -9.0605802834033966E-002    0.54204189777374268     
           8             0             2
   1.7965068817138672          6.8712286651134491E-002     1.0840978622436523     
           8             0             3
   2.0812354087829590         0.21498432755470276          1.6261538267135620     
           8             0             4
   2.3869853019714355         0.36787831783294678          2.1682095527648926     
           8             0             5
   2.6514074802398682         0.52540999650955200          2.7102653980255127     
           8             0             6
   2.9471778869628906         0.70263391733169556          3.2523214817047119     
           8             0             7
   3.2177903652191162         0.88681828975677490          3.7943773269653320     
           8             1             0
   1.5518989562988281         -7.0312604308128357E-002    -1.4001223462400958E-005
           8             1             1
   1.6612811088562012          1.2444265186786652E-002    0.54204189777374268     
           8             1             2
   1.7965068817138672         0.14366832375526428          1.0840978622436523     
           8             1             3
   2.0812354087829590         0.27989584207534790          1.6261538267135620     
           8             1             4
   2.3869853019714355         0.42611375451087952          2.1682095527648926     
           8             1             5
   2.6514074802398682         0.57766640186309814          2.7102653980255127     
           8             1             6
   2.9471778869628906         0.75145393610000610          3.2523214817047119     
           8             1             7
   3.2177903652191162         0.92883044481277466          3.7943773269653320     
           8             2             0
   1.5518989562988281          8.7216481566429138E-002    -1.4001223462400958E-005
           8             2             1
   1.6612811088562012         0.11549434065818787         0.54204189777374268     
           8             2             2
   1.7965068817138672         0.21862435340881348          1.0840978622436523     
           8             2             3
   2.0812354087829590         0.34480735659599304          1.6261538267135620     
           8             2             4
   2.3869853019714355         0.48434922099113464          2.1682095527648926     
           8             2             5
   2.6514074802398682         0.62992292642593384          2.7102653980255127     
           8             2             6
   2.9471778869628906         0.80027401447296143          3.2523214817047119     
           8             2             7
   3.2177903652191162         0.97084259986877441          3.7943773269653320     
           9             0             0
   1.7490024566650391        -0.22784169018268585         -1.4001223462400958E-005
           9             0             1
   1.8261332511901855         -9.0605802834033966E-002    0.54204189777374268     
           9             0             2
   1.9274289608001709          6.8712286651134491E-002     1.0840978622436523     
           9             0             3
   2.1950817108154297         0.21498432755470276          1.6261538267135620     
           9             0             4
   2.4855575561523438         0.36787831783294678          2.1682095527648926     
           9             0             5
   2.7355678081512451         0.52540999650955200          2.7102653980255127     
           9             0             6
   3.0182311534881592         0.70263391733169556          3.2523214817047119     
           9             0             7
   3.2753338813781738         0.88681828975677490          3.7943773269653320     
           9             1             0
   1.7490024566650391         -7.0312604308128357E-002    -1.4001223462400958E-005
           9             1             1
   1.8261332511901855          1.2444265186786652E-002    0.54204189777374268     
           9             1             2
   1.9274289608001709         0.14366832375526428          1.0840978622436523     
           9             1             3
   2.1950817108154297         0.27989584207534790          1.6261538267135620     
           9             1             4
   2.4855575561523438         0.42611375451087952          2.1682095527648926     
           9             1             5
   2.7355678081512451         0.57766640186309814          2.7102653980255127     
           9             1             6
   3.0182311534881592         0.75145393610000610          3.2523214817047119     
           9             1             7
   3.2753338813781738         0.92883044481277466          3.7943773269653320     
           9             2             0
   1.7490024566650391          8.7216481566429138E-002    -1.4001223462400958E-005
           9             2             1
   1.8261332511901855         0.11549434065818787         0.54204189777374268     
           9             2             2
   1.9274289608001709         0.21862435340881348          1.0840978622436523     
           9             2             3
   2.1950817108154297         0.34480735659599304          1.6261538267135620     
           9             2             4
   2.4855575561523438         0.48434922099113464          2.1682095527648926     
           9             2             5
   2.7355678081512451         0.62992292642593384          2.7102653980255127     
           9             2             6
   3.0182311534881592         0.80027401447296143          3.2523214817047119     
           9             2             7
   3.2753338813781738         0.97084259986877441          3.7943773269653320     
 SolidBoundaryPointData         8049
   3.0319235324859619         0.93425250053405762          3.7693758010864258     
  0.55772495269775391         0.66066426038742065         0.99341118335723877     
   3.0219027996063232         0.93348634243011475          3.7693734169006348     
  0.53858625888824463         0.65162074565887451         0.99341058731079102     
   3.0325353145599365         0.93239808082580566          3.7693519592285156     
  0.55892032384872437         0.63885122537612915         0.99340462684631348     
   3.0224881172180176         0.93158066272735596          3.7693364620208740     
  0.53974491357803345         0.62924915552139282         0.99340081214904785     
   3.0419349670410156         0.93508213758468628          3.7693364620208740     
  0.57689100503921509         0.67061334848403931         0.99340093135833740     
   3.0425715446472168         0.93328410387039185          3.7693269252777100     
  0.57812154293060303         0.64941674470901489         0.99339777231216431     
   3.0118744373321533         0.93277704715728760          3.7693202495574951     
  0.51948761940002441         0.64344650506973267         0.99339640140533447     
   3.0124320983886719         0.93082809448242188          3.7692759037017822     
  0.52060467004776001         0.62059241533279419         0.99338465929031372     
   3.0212404727935791         0.93533635139465332          3.7692584991455078     
  0.53745013475418091         0.67392164468765259         0.99337989091873169     
