 NumElements:            1
 Element:            1
 FFD Points          240
           2             0             1
  0.74654489755630493        -0.13954526185989380         0.54204189777374268     
           2             0             2
   1.2305935621261597         -7.5796373188495636E-002     1.0840978622436523     
           2             0             3
   1.7630198001861572         -2.5093531236052513E-002     1.6261538267135620     
           2             0             4
   2.3056588172912598          3.2231286168098450E-002     2.1682095527648926     
           2             0             5
   2.8017950057983398          9.4193793833255768E-002     2.7102653980255127     
           2             0             6
   3.3214504718780518         0.17584855854511261          3.2523214817047119     
           2             0             7
   3.8183655738830566         0.26446369290351868          3.7943773269653320     
           2             1             0
  0.36927780508995056         -7.0312604308128357E-002    -1.4001223462400958E-005
           2             1             1
  0.73287820816040039         -2.7502611279487610E-002    0.54204189777374268     
           2             1             2
   1.2169269323348999          8.1522539258003235E-003     1.0840978622436523     
           2             1             3
   1.7493531703948975          4.8810563981533051E-002     1.6261538267135620     
           2             1             4
   2.2919921875000000          9.9459342658519745E-002     2.1682095527648926     
           2             1             5
   2.7881283760070801         0.15544286370277405          2.7102653980255127     
           2             1             6
   3.3077836036682129         0.23366117477416992          3.2523214817047119     
           2             1             7
   3.8046989440917969         0.31546843051910400          3.7943773269653320     
           2             2             0
  0.36927780508995056          8.7216481566429138E-002    -1.4001223462400958E-005
           2             2             1
  0.71921157836914062          8.4540039300918579E-002    0.54204189777374268     
           2             2             2
   1.2032601833343506          9.2100881040096283E-002     1.0840978622436523     
           2             2             3
   1.7356865406036377         0.12271466106176376          1.6261538267135620     
           2             2             4
   2.2783255577087402         0.16668739914894104          2.1682095527648926     
           2             2             5
   2.7744617462158203         0.21669192612171173          2.7102653980255127     
           2             2             6
   3.2941169738769531         0.29147377610206604          3.2523214817047119     
           2             2             7
   3.7910323143005371         0.36647316813468933          3.7943773269653320     
           3             0             0
  0.56638133525848389        -0.22784169018268585         -1.4001223462400958E-005
           3             0             1
  0.91139703989028931        -0.13954526185989380         0.54204189777374268     
           3             0             2
   1.3615157604217529         -7.5796373188495636E-002     1.0840978622436523     
           3             0             3
   1.8768663406372070         -2.5093531236052513E-002     1.6261538267135620     
           3             0             4
   2.4042308330535889          3.2231286168098450E-002     2.1682095527648926     
           3             0             5
   2.8859553337097168          9.4193793833255768E-002     2.7102653980255127     
           3             0             6
   3.3925037384033203         0.17584855854511261          3.2523214817047119     
           3             0             7
   3.8759090900421143         0.26446369290351868          3.7943773269653320     
           3             1             0
  0.56638133525848389         -7.0312604308128357E-002    -1.4001223462400958E-005
           3             1             1
  0.89773035049438477         -2.7502611279487610E-002    0.54204189777374268     
           3             1             2
   1.3478491306304932          8.1522539258003235E-003     1.0840978622436523     
           3             1             3
   1.8631995916366577          4.8810563981533051E-002     1.6261538267135620     
           3             1             4
   2.3905642032623291          9.9459342658519745E-002     2.1682095527648926     
           3             1             5
   2.8722887039184570         0.15544286370277405          2.7102653980255127     
           3             1             6
   3.3788371086120605         0.23366117477416992          3.2523214817047119     
           3             1             7
   3.8622424602508545         0.31546843051910400          3.7943773269653320     
           3             2             0
  0.56638133525848389          8.7216481566429138E-002    -1.4001223462400958E-005
           3             2             1
  0.88406372070312500          8.4540039300918579E-002    0.54204189777374268     
           3             2             2
   1.3341823816299438          9.2100881040096283E-002     1.0840978622436523     
           3             2             3
   1.8495329618453979         0.12271466106176376          1.6261538267135620     
           3             2             4
